77/10 02S 146E     3 
77/10 03S 149E     7 
77/10 04S 150E    13 
                     AY02118                U    
77/10 04S 151E     2 
77/10 04S 153E     1 
77/10 06S 152E     2 
77/10 08S 155E  1177 
                     SC04455 78/11          PL FJ
                     SC04474 78/11          PL FJ
                     SC04653 79/02 09S 179E T  TV
                     SC04672 80/05 18S 179E PL FJ
78/02 19S 177E  1370 
                     SC03273 78/02          PL FJ
                     SC03297 78/02          PL FJ
                     SC02399 78/02 19S 177E PL   
                     SC02399 78/02 19S 177E PL   
                     SC02399 78/02 19S 177E PL   
                     SC02399 78/02 19S 177E PL   
                     SC02450 78/02 19S 177E PL   
                     SC02915 78/02 19S 177E PL   
                     SB00984 78/02 19S 177E PL   
                     SB00984 78/02 19S 177E PL   
                     SC03808 78/02 19S 177E PL FJ
                     SC04308 78/02 19S 177E PL FJ
                     SC03935 78/02 19S 177E PL FJ
                     SC03929 78/02 19S 177E PL FJ
                     SC03928 78/02 19S 177E PL FJ
                     SC03925 78/02 19S 177E PL FJ
                     SC03924 78/02 19S 177E PL FJ
                     SC03908 78/02 19S 177E PL FJ
                     SC03914 78/02 19S 177E PL FJ
                     SC03915 78/02 19S 177E PL FJ
                     SC03921 78/02 19S 177E PL FJ
                     SC02298 78/02 19S 177E PL FJ
                     SC02422 78/02 19S 177E PL FJ
                     SC02451 78/02 19S 177E PL FJ
                     SC02461 78/02 19S 177E PL FJ
                     SC02452 78/02 19S 177E PL FJ
                     SC02516 78/02 19S 177E PL FJ
                     SC02513 78/02 19S 177E PL FJ
                     SC02509 78/02 19S 177E PL FJ
                     SC02507 78/02 19S 177E PL FJ
                     SC02497 78/02 19S 177E PL FJ
                     SC02491 78/02 19S 177E PL FJ
                     SC02476 78/02 19S 177E PL FJ
                     SC02469 78/02 19S 177E PL FJ
                     SC02552 78/02 19S 177E PL FJ
                     SC02545 78/02 19S 177E PL FJ
                     SC02542 78/02 19S 177E PL FJ
                     SC02537 78/02 19S 177E PL FJ
                     SC02535 78/02 19S 177E PL FJ
                     SC02525 78/02 19S 177E PL FJ
                     SC02524 78/02 19S 177E PL FJ
                     SC02523 78/02 19S 177E PL FJ
                     SC02632 78/02 19S 177E PL FJ
                     SC02607 78/02 19S 177E PL FJ
                     SC02577 78/02 19S 177E PL FJ
                     SC02575 78/02 19S 177E PL FJ
                     SC02572 78/02 19S 177E PL FJ
                     SC02566 78/02 19S 177E PL FJ
                     SC02556 78/02 19S 177E PL FJ
                     SC02463 78/02 19S 177E PL FJ
                     SC02902 78/02 19S 177E PL FJ
                     SC02886 78/02 19S 177E PL FJ
                     SC02881 78/02 19S 177E PL FJ
                     SC02875 78/02 19S 177E PL FJ
                     SC02850 78/02 19S 177E PL FJ
                     SC02848 78/02 19S 177E PL FJ
                     SC02846 78/02 19S 177E PL FJ
                     SC02820 78/02 19S 177E PL FJ
                     SC03057 78/02 19S 177E PL FJ
                     SC03049 78/02 19S 177E PL FJ
                     SC03047 78/02 19S 177E PL FJ
                     SC03045 78/02 19S 177E PL FJ
                     SC03041 78/02 19S 177E PL FJ
                     SC03037 78/02 19S 177E PL FJ
                     SC03025 78/02 19S 177E PL FJ
                     SC03020 78/02 19S 177E PL FJ
                     SC03467 78/02 19S 177E PL FJ
                     SC03465 78/02 19S 177E PL FJ
                     SC03464 78/02 19S 177E PL FJ
                     SC03460 78/02 19S 177E PL FJ
                     SC03154 78/02 19S 177E PL FJ
                     SC03153 78/02 19S 177E PL FJ
                     SC03146 78/02 19S 177E PL FJ
                     SC03144 78/02 19S 177E PL FJ
                     SC03136 78/02 19S 177E PL FJ
                     SC03133 78/02 19S 177E PL FJ
                     SC03130 78/02 19S 177E PL FJ
                     SC03124 78/02 19S 177E PL FJ
                     SC03394 78/02 19S 177E PL FJ
                     SC03379 78/02 19S 177E PL FJ
                     SC03365 78/02 19S 177E PL FJ
