1977/10 02S 146E     3 
1977/10 03S 149E     197 
1977/10 04S 150E    13 
                     AY02118                U    
1977/10 04S 151E     2 
1977/10 04S 153E     1 
1977/10 06S 152E     2 
1977/10 08S 155E  1177 
                     SC04582 1978/02          PL XX
                     SC04522 1978/02 18S 180W PL XX
                     SC04148 1978/03 17S 180W PL XX
                     SC04236 1978/03 18S 180W PL XX
                     SC04555 1978/03 18S 180W PL XX
                     SC04562 1978/03 18S 180W PL XX
                     SC04598 1978/03 18S 180W PL XX
                     SC04605 1978/03 18S 180W PL XX
                     SC04586 1978/03 18S 180W PL XX
                     SC04553 1978/03 18S 180W PL XX
                     SC04533 1978/03 18S 180W PL XX
                     SC04152 1978/04 17S 178E PL XX
                     SC04168 1978/05 17S 179E PL XX
                     SC04481 1978/05 17S 179E PL XX
                     SC04590 1978/06 16S 179E PL XX
                     SC04566 1978/06          PL XX
                     SC03670 1978/11          PL XX
                     SC04600 1978/11          PL XX
                     SC04455 1978/11          PL XX
                     SC04474 1978/11          PL XX
                     SC04653 1979/02 09S 179E T  TV
                     SC04672 1980/05 18S 179E PL XX
1978/02 19S 177E  1370 
                     SC03273 1978/02          PL XX
                     SC03297 1978/02          PL XX
                     SC02399 1978/02 19S 177E PL   
                     SC02399 1978/02 19S 177E PL   
                     SC02399 1978/02 19S 177E PL   
                     SC02399 1978/02 19S 177E PL   
                     SC02450 1978/02 19S 177E PL   
                     SC02915 1978/02 19S 177E PL   
                     VV00984 1978/02 19S 177E PL   
                     VV00984 1978/02 19S 177E PL   
                     SC03808 1978/02 19S 177E PL XX
                     SC04308 1978/02 19S 177E PL XX
                     SC03935 1978/02 19S 177E PL XX
                     SC03929 1978/02 19S 177E PL XX
                     SC03928 1978/02 19S 177E PL XX
                     SC03925 1978/02 19S 177E PL XX
                     SC03924 1978/02 19S 177E PL XX
                     SC03908 1978/02 19S 177E PL XX
                     SC03914 1978/02 19S 177E PL XX
                     SC03915 1978/02 19S 177E PL XX
                     SC03921 1978/02 19S 177E PL XX
                     SC02298 1978/02 19S 177E PL XX
                     SC02422 1978/02 19S 177E PL XX
                     SC02451 1978/02 19S 177E PL XX
                     SC02461 1978/02 19S 177E PL XX
                     SC02452 1978/02 19S 177E PL XX
                     SC02516 1978/02 19S 177E PL XX
                     SC02513 1978/02 19S 177E PL XX
                     SC02509 1978/02 19S 177E PL XX
                     SC02507 1978/02 19S 177E PL XX
                     SC02497 1978/02 19S 177E PL XX
                     SC02491 1978/02 19S 177E PL XX
                     SC02476 1978/02 19S 177E PL XX
                     SC02469 1978/02 19S 177E PL XX
                     SC02552 1978/02 19S 177E PL XX
                     SC02545 1978/02 19S 177E PL XX
                     SC02542 1978/02 19S 177E PL XX
                     SC02537 1978/02 19S 177E PL XX
                     SC02535 1978/02 19S 177E PL XX
                     SC02525 1978/02 19S 177E PL XX
                     SC02524 1978/02 19S 177E PL XX
                     SC02523 1978/02 19S 177E PL XX
                     SC02632 1978/02 19S 177E PL XX
                     SC02607 1978/02 19S 177E PL XX
                     SC02577 1978/02 19S 177E PL XX
                     SC02575 1978/02 19S 177E PL XX
                     SC02572 1978/02 19S 177E PL XX
                     SC02566 1978/02 19S 177E PL XX
                     SC02556 1978/02 19S 177E PL XX
                     SC02463 1978/02 19S 177E PL XX
                     SC02902 1978/02 19S 177E PL XX
                     SC02886 1978/02 19S 177E PL XX
                     SC02881 1978/02 19S 177E PL XX
                     SC02875 1978/02 19S 177E PL XX
                     SC02850 1978/02 19S 177E PL XX
                     SC02848 1978/02 19S 177E PL XX
                     SC02846 1978/02 19S 177E PL XX
                     SC02820 1978/02 19S 177E PL XX
                     SC03057 1978/02 19S 177E PL XX
                     SC03049 1978/02 19S 177E PL XX
                     SC03047 1978/02 19S 177E PL XX
                     SC03045 1978/02 19S 177E PL XX
                     SC03041 1978/02 19S 177E PL XX
                     SC03037 1978/02 19S 177E PL XX
                     SC03025 1978/02 19S 177E PL XX
                     SC03020 1978/02 19S 177E PL XX
                     SC03467 1978/02 19S 177E PL XX
                     SC03465 1978/02 19S 177E PL XX
                     SC03464 1978/02 19S 177E PL XX
                     SC03460 1978/02 19S 177E PL XX
                     SC03154 1978/02 19S 177E PL XX
                     SC03153 1978/02 19S 177E PL XX
                     SC03146 1978/02 19S 177E PL XX
                     SC03144 1978/02 19S 177E PL XX
                     SC03136 1978/02 19S 177E PL XX
                     SC03133 1978/02 19S 177E PL XX
                     SC03130 1978/02 19S 177E PL XX
                     SC03124 1978/02 19S 177E PL XX
                     SC03394 1978/02 19S 177E PL XX
                     SC03379 1978/02 19S 177E PL XX
                     SC03365 1978/02 19S 177E PL XX
                     SC03341 1978/02 19S 177E PL XX
                     SC03333 1978/02 19S 177E PL XX
