1979/09 08S 160E 2          2
1979/09 09S 156E 59          278.91
1979/09 09S 157E 83          409.67
1979/09 09S 158E 67          229.72
1979/09 09S 159E 76          236.26
1979/09 09S 160E 49          171.7
1979/09 10S 156E 12          56.94
1979/09 10S 157E 14          71.39
1979/09 10S 158E 15          65.55
1979/09 10S 159E 73          276.08
1979/09 10S 160E 6          27.5
1979/09 10S 161E 1          0.4
1979/09 11S 159E 1          0.5
1979/10 08S 156E 55          163.38
1979/10 08S 157E 61          219.6
1979/10 08S 158E 37          112.34
1979/10 08S 159E 3          8
1979/10 09S 156E 59          236.7
1979/10 09S 157E 47          177.88
1979/10 09S 158E 35          94.56
1979/10 09S 159E 39          107.5
1979/10 09S 160E 83          230.36
1979/10 09S 161E 1          0.2
1979/10 10S 156E 5          18.2
1979/10 10S 157E 46          223.87
1979/10 10S 158E 18          67.6
1979/10 10S 159E 55          122.9
1979/10 10S 160E 62          231.47
1979/10 10S 161E 9          15
1979/11 07S 157E 1          7
1979/11 08S 156E 43          179.64
1979/11 08S 157E 36          122.65
1979/11 08S 158E 15          61.89
1979/11 08S 159E 2          0
1979/11 08S 160E 9          42.26
1979/11 09S 156E 69          231.4
1979/11 09S 157E 54          217.35
1979/11 09S 158E 30          71.42
1979/11 09S 159E 30          74.2
1979/11 09S 160E 57          153.85
1979/11 09S 161E 1          0
1979/11 10S 156E 14          53.11
1979/11 10S 157E 49          178.42
1979/11 10S 158E 13          37.5
1979/11 10S 159E 82          290.88
1979/11 10S 160E 53          197.9
1979/11 10S 161E 22          70.9
1979/11 10S 162E 6          24.5
1979/11 11S 160E 2          1
1979/11 11S 161E 1          3
1979/12 07S 157E 2          3
1979/12 07S 158E 2          3
1979/12 08S 156E 40          69.4
1979/12 08S 157E 31          29.44
1979/12 08S 158E 20          41.44
1979/12 08S 159E 9          17
1979/12 08S 160E 17          23.09
1979/12 09S 156E 39          44.78
1979/12 09S 157E 73          113.25
1979/12 09S 158E 42          53.18
1979/12 09S 159E 24          38
1979/12 09S 160E 26          23.05
1979/12 09S 161E 2          0
1979/12 10S 156E 13          18.5
1979/12 10S 157E 55          111.27
1979/12 10S 158E 94          218.44
1979/12 10S 159E 68          151.16
1979/12 10S 160E 35          58.24
1979/12 10S 161E 24          23.21
1979/12 10S 162E 2          4.5
1980/01 07S 157E 2          3
1980/01 07S 158E 2          3
1980/01 08S 156E 36          69.4
1980/01 08S 157E 28          29.44
1980/01 08S 158E 18          41.44
1980/01 08S 159E 8          17
1980/01 08S 160E 15          23.09
1980/01 09S 156E 35          44.78
1980/01 09S 157E 66          113.25
1980/01 09S 158E 38          53.18
1980/01 09S 159E 22          38
1980/01 09S 160E 23          23.05
1980/01 09S 161E 2          0
1980/01 10S 156E 12          18.5
1980/01 10S 157E 50          111.27
1980/01 10S 158E 85          218.44
1980/01 10S 159E 61          151.16
1980/01 10S 160E 31          58.24
1980/01 10S 161E 22          23.21
1980/01 10S 162E 2          4.5
1980/02 09S 156E 30          57.62
1980/02 09S 157E 3          4.5
1980/02 09S 158E 2          0
1980/02 10S 157E 3          3.33
1980/04 05S 160E 0          0
1980/04 08S 156E 1          9.04
1980/04 08S 158E 1          4.44
1980/04 08S 160E 2          20.5
1980/04 08S 161E 0          5
1980/04 09S 156E 8          72.42
1980/04 09S 157E 5          75.23
1980/04 09S 158E 4          39.91
1980/04 09S 159E 6          58
1980/04 09S 160E 10          92.59
1980/04 09S 161E 1          12.9
1980/04 10S 156E 6          90.17
1980/04 10S 157E 20          237.8
1980/04 10S 158E 13          196.41
1980/04 10S 159E 10          105.93
1980/04 10S 160E 1          2.3
1980/04 10S 161E 1          7
1980/05 07S 156E 1          6
1980/05 07S 157E 4          35
1980/05 07S 160E 2          13
1980/05 08S 155E 1          2
1980/05 08S 156E 18          99.11
1980/05 08S 157E 10          60.49
1980/05 08S 158E 15          84.92
1980/05 08S 159E 2          16.2
1980/05 08S 160E 1          7.5
1980/05 08S 161E 1          0.98
1980/05 09S 155E 2          6.9
1980/05 09S 156E 76          434.99
1980/05 09S 157E 24          88.15
1980/05 09S 158E 50          254.31
1980/05 09S 159E 29          98.84
1980/05 09S 160E 32          115.26
1980/05 09S 161E 3          6.3
1980/05 10S 156E 13          58.46
1980/05 10S 157E 37          166.12
1980/05 10S 158E 15          87.36
1980/05 10S 159E 24          86.8
1980/05 10S 160E 6          12.5
1980/05 10S 161E 2          8.5
1980/05 11S 160E 1          2
1980/06 07S 157E 2          6.5
1980/06 08S 155E 1          2
1980/06 08S 156E 26          127.65
1980/06 08S 157E 17          57.57
1980/06 08S 158E 8          28.6
1980/06 08S 160E 2          14
1980/06 08S 161E 1          5
1980/06 09S 156E 61          348.18
1980/06 09S 157E 37          123.06
1980/06 09S 158E 75          372.72
1980/06 09S 159E 54          334.96
1980/06 09S 160E 61          368.92
1980/06 10S 156E 18          80.5
1980/06 10S 157E 55          316.08
1980/06 10S 158E 57          411.06
1980/06 10S 159E 54          280.56
1980/06 10S 160E 2          16
1980/06 10S 161E 5          45
1980/07 07S 160E 1          2
1980/07 08S 156E 38          188.38
1980/07 08S 157E 17          90.5
1980/07 08S 158E 5          17
1980/07 08S 159E 1          0.5
1980/07 08S 160E 1          1
1980/07 09S 156E 72          423.65
1980/07 09S 157E 87          468.05
1980/07 09S 158E 72          349.58
1980/07 09S 159E 30          132.2
1980/07 09S 160E 75          378.49
1980/07 10S 156E 9          73.3
1980/07 10S 157E 39          258.1
1980/07 10S 158E 25          103.35
1980/07 10S 159E 74          281.19
1980/07 10S 160E 12          27
1980/08 08S 155E 3          20
1980/08 08S 156E 19          128.38
1980/08 08S 157E 41          280.36
1980/08 08S 158E 11          87
1980/08 09S 153E 1          6
1980/08 09S 155E 1          0
1980/08 09S 156E 42          244.26
1980/08 09S 157E 10          596.9
1980/08 09S 158E 86          718.25
1980/08 09S 159E 47          246.1
1980/08 09S 160E 40          225.31
1980/08 10S 156E 14          108.51
1980/08 10S 157E 40          253.63
1980/08 10S 158E 28          141.09
1980/08 10S 159E 70          331.85
1980/08 10S 161E 8          47.3
1980/08 11S 157E 1          8.6
1980/09 08S 156E 31          138.73
1980/09 08S 157E 72          376.87
1980/09 08S 158E 31          162.47
1980/09 08S 160E 2          2
1980/09 09S 156E 57          278.91
1980/09 09S 157E 79          409.67
1980/09 09S 158E 64          229.72
1980/09 09S 159E 72          236.26
1980/09 09S 160E 47          171.7
1980/09 10S 156E 12          56.94
1980/09 10S 157E 14          71.39
1980/09 10S 158E 15          65.55
1980/09 10S 159E 70          276.08
1980/09 10S 160E 6          27.5
1980/09 10S 161E 1          0.4
1980/09 11S 159E 1          0.5
1980/10 08S 156E 50          163.38
1980/10 08S 157E 56          219.6
1980/10 08S 158E 34          112.34
1980/10 08S 159E 3          8
1980/10 09S 156E 54          236.7
1980/10 09S 157E 44          177.88
1980/10 09S 158E 32          94.56
1980/10 09S 159E 36          107.5
1980/10 09S 160E 76          230.36
1980/10 09S 161E 1          0.2
1980/10 10S 156E 5          18.2
1980/10 10S 157E 43          223.87
1980/10 10S 158E 16          67.6
1980/10 10S 159E 50          122.9
1980/10 10S 160E 57          231.47
1980/10 10S 161E 9          15
1980/11 07S 157E 1          7
1980/11 08S 156E 42          179.64
